"year","temp","recr"
2015,5.82613369467028,1
2016,5.85137308039747,1
2017,5.96609756097561,1
2018,5.96992171032822,1
2019,5.84563685636857,1
2020,5.89726287262873,1
2021,6.02027301013751,1
2022,5.89343872327612,1
2023,5.97948208370973,1
2024,5.98426227040048,1
2025,5.90873532068654,1
2026,5.93263625414032,1
2027,6.03397621198434,1
2028,5.99669075579645,1
2029,6.01103131586872,1
2030,5.95175700090334,1
2031,5.93646040349293,1
2032,6.15921710328215,1
2033,6.35176302318579,1
2034,6.29879855465221,1
2035,6.20988708220416,1
2036,6.2443044263776,1
2037,6.14583258054803,1
2038,6.27872177055104,1
2039,6.46323697681421,1
2040,6.44507226738934,1
2041,6.4498524540801,1
2042,6.58560975609756,1
2043,6.6554004817826,1
2044,6.6611367058115,1
2045,6.6554004817826,1
2046,6.77490514905149,1
2047,6.80358626919603,1
2048,6.70893857271906,1
2049,6.56266485998193,1
2050,6.46992923818127,1
2051,6.5301595904848,1
2052,6.68886178861789,1
2053,6.66496085516411,1
2054,6.66476964769648,1
2055,6.76725685034628,1
2056,6.72136705811503,1
2057,6.75482836495032,1
2058,6.78159741041855,1
2059,6.866684733514,1
2060,7.04259560373382,1
2061,7.15588602830473,1
2062,7.39537338151159,1
2063,7.29632791327913,1
2064,7.22424269798254,1
2065,7.26726437819934,1
2066,7.37912074676303,1
2067,7.4403071364047,1
2068,7.38600421559771,1
2069,7.19938572719061,1
2070,7.2366711833785,1
2071,7.39824149352605,1
2072,7.4814167419452,1
2073,7.39250526949714,1
2074,7.34279132791328,1
2075,7.46191358024691,1
2076,7.58944896115628,1
2077,7.51392201144234,1
2078,7.54355916892502,1
2079,7.5636359530262,1
2080,7.55025143029208,1
2081,7.57988858777477,1
2082,7.66019572417946,1
2083,7.82845829569407,1
2084,7.8514031918097,1
2085,7.83323848238483,1
2086,7.95561126166817,1
2087,8.08276422764228,1
2088,8.10666516109606,1
2089,8.09041252634749,1
2090,8.07702800361337,1
2091,8.03209424872027,1
2092,8.09041252634749,1
2093,8.26966952725083,1
2094,8.33324601023788,1
2095,8.38678410117435,1
2096,8.28289471042859,1
2097,8.25054878048781,1
2098,8.40590484793737,1
2099,8.48716802168022,1
