"year","temp","recr"
2015,5.9259670781893,1
2016,5.99811602930845,1
2017,5.99684131285758,1
2018,6.0440058215397,1
2019,6.07969788216401,1
2020,6.04910468734317,1
2021,6.08097259861488,1
2022,6.07459901636054,1
2023,6.08989561377096,1
2024,6.03253337348189,1
2025,6.08887584061026,1
2026,6.1804004817826,1
2027,6.14088427180568,1
2028,6.17275218307739,1
2029,6.14980728696176,1
2030,6.22246612466125,1
2031,6.33081702298505,1
2032,6.3971022784302,1
2033,6.43916792130885,1
2034,6.45191508581753,1
2035,6.49653016159792,1
2036,6.52457392351702,1
2037,6.5411452373783,1
2038,6.55771655123959,1
2039,6.49398072869618,1
2040,6.44681622001406,1
2041,6.5411452373783,1
2042,6.60233162701998,1
2043,6.61507879152866,1
2044,6.64924119241193,1
2045,6.69666064438423,1
2046,6.75529760112417,1
2047,6.80756097560976,1
2048,6.88659339556359,1
2049,6.8700220817023,1
2050,6.91718659038443,1
2051,7.07780086319382,1
2052,7.14026196928637,1
2053,7.15555856669678,1
2054,7.12369065542508,1
2055,7.20527250828064,1
2056,7.22439325504367,1
2057,7.07780086319382,1
2058,7.05995483288167,1
2059,7.10966877446553,1
2060,7.11731707317074,1
2061,7.22056910569106,1
2062,7.34676603432702,1
2063,7.46913881361036,1
2064,7.60935762320587,1
2065,7.60170932450066,1
2066,7.58896215999198,1
2067,7.58768744354111,1
2068,7.71898323798053,1
2069,7.91528957141424,1
2070,7.89744354110208,1
2071,7.79929037438523,1
2072,7.81076282244305,1
2073,7.88342166014253,1
2074,8.01471745458196,1
2075,8.00451972297501,1
2076,7.936959751079,1
2077,7.85920204757604,1
2078,7.73173040248922,1
2079,7.80693867309044,1
2080,8.0453106494028,1
2081,7.97520124460504,1
2082,8.14983739837399,1
2083,8.39968182274416,1
2084,8.50548328816622,1
2085,8.47743952624712,1
2086,8.39713238984242,1
2087,8.51695573622403,1
2088,8.68011944193517,1
2089,8.87005219311453,1
2090,8.71389942788317,1
2091,8.64952624711433,1
2092,8.91275519421862,1
2093,9.13519321489512,1
2094,9.16833584261769,1
2095,9.19892903743853,1
2096,9.09057813911473,1
2097,8.98987553949614,1
2098,9.09695172136907,1
2099,9.33022483187795,1
