"year","temp","recr"
2015,5.88387834989461,1
2016,5.90491117133393,1
2017,5.92594399277326,1
2018,5.94697681421258,1
2019,5.9584492622704,1
2020,5.99191056910569,1
2021,5.93110659439927,1
2022,6.04640469738031,1
2023,6.22996386630533,1
2024,6.2500406504065,1
2025,6.16801264679313,1
2026,6.01485546522132,1
2027,6.02345980126468,1
2028,5.97278982234267,1
2029,6.07651987353207,1
2030,6.18216199939777,1
2031,6.07890996687745,1
2032,5.95749322493225,1
2033,6.06246612466124,1
2034,6.10759108702198,1
2035,6.03015206263173,1
2036,6.14487654320987,1
2037,6.2892381812707,1
2038,6.38197380307136,1
2039,6.30357874134297,1
2040,6.19172237277928,1
2041,6.21562330623306,1
2042,6.21275519421861,1
2043,6.2051068955134,1
2044,6.30740289069557,1
2045,6.36572116832279,1
2046,6.40205058717254,1
2047,6.49096205962059,1
2048,6.46514905149051,1
2049,6.23570009033423,1
2050,6.19363444745558,1
2051,6.28254591990364,1
2052,6.45080849141825,1
2053,6.37757603131587,1
2054,6.31027100271002,1
2055,6.2481285757302,1
2056,6.28350195724179,1
2057,6.40396266184884,1
2058,6.34182023486901,1
2059,6.37910569105691,1
2060,6.38388587774766,1
2061,6.37814965371876,1
2062,6.37814965371876,1
2063,6.46170731707317,1
2064,6.51103884372177,1
2065,6.38006172839506,1
2066,6.41543510990665,1
2067,6.51008280638362,1
2068,6.59899427883168,1
2069,6.67738934056007,1
2070,6.64870822041554,1
2071,6.7003342366757,1
2072,6.69364197530864,1
2073,6.66591689250226,1
2074,6.59612616681722,1
2075,6.51581903041252,1
2076,6.5416320385426,1
2077,6.54354411321891,1
2078,6.52824751580849,1
2079,6.48809394760614,1
2080,6.44602830472749,1
2081,6.56744504667269,1
2082,6.7060704607046,1
2083,6.75578440228846,1
2084,6.74718006624511,1
2085,6.67738934056007,1
2086,6.65635651912074,1
2087,6.64488407106293,1
2088,6.620027100271,1
2089,6.620027100271,1
2090,6.57126919602529,1
2091,6.52729147847034,1
2092,6.6162029509184,1
2093,6.68694971394158,1
2094,6.57528455284553,1
2095,6.52920355314664,1
2096,6.66782896717856,1
2097,6.73092743149653,1
2098,6.71276272207166,1
2099,6.67834537789822,1
